areaCode,areaName,areaType,date,newAdmissions,newCasesByPublishDate,newDeaths28DaysByDeathDate,newDeaths28DaysByDeathDateRate,newTestsByPublishDate
K02000001,United Kingdom,overview,2021-08-02,,21952,,,
K02000001,United Kingdom,overview,2021-08-01,,24470,16,0.0,671342
K02000001,United Kingdom,overview,2021-07-31,,26144,14,0.0,677371
K02000001,United Kingdom,overview,2021-07-30,,29622,44,0.1,840189
K02000001,United Kingdom,overview,2021-07-29,,31117,48,0.1,866068
K02000001,United Kingdom,overview,2021-07-28,,27734,69,0.1,913452
K02000001,United Kingdom,overview,2021-07-27,912,23511,64,0.1,800665
K02000001,United Kingdom,overview,2021-07-26,927,24950,72,0.1,812126
K02000001,United Kingdom,overview,2021-07-25,932,29173,64,0.1,791097
K02000001,United Kingdom,overview,2021-07-24,825,31795,61,0.1,757969
K02000001,United Kingdom,overview,2021-07-23,852,36389,75,0.1,911753
K02000001,United Kingdom,overview,2021-07-22,951,39906,66,0.1,1016134
K02000001,United Kingdom,overview,2021-07-21,927,44104,51,0.1,1042385
K02000001,United Kingdom,overview,2021-07-20,926,46558,57,0.1,888078
K02000001,United Kingdom,overview,2021-07-19,872,39950,78,0.1,1076936
K02000001,United Kingdom,overview,2021-07-18,794,48161,64,0.1,1041184
K02000001,United Kingdom,overview,2021-07-17,706,54674,50,0.1,784623
K02000001,United Kingdom,overview,2021-07-16,696,51870,49,0.1,979046
K02000001,United Kingdom,overview,2021-07-15,771,48553,52,0.1,1181072
K02000001,United Kingdom,overview,2021-07-14,747,42302,41,0.1,1213180
K02000001,United Kingdom,overview,2021-07-13,748,36660,48,0.1,935422
K02000001,United Kingdom,overview,2021-07-12,729,34471,36,0.1,1077258
K02000001,United Kingdom,overview,2021-07-11,588,31772,32,0.0,1124945
K02000001,United Kingdom,overview,2021-07-10,549,32367,41,0.1,743561
K02000001,United Kingdom,overview,2021-07-09,555,35707,46,0.1,904994
K02000001,United Kingdom,overview,2021-07-08,602,32551,38,0.1,1117928
K02000001,United Kingdom,overview,2021-07-07,568,32548,29,0.0,1240522
K02000001,United Kingdom,overview,2021-07-06,572,28773,31,0.0,971276
K02000001,United Kingdom,overview,2021-07-05,515,27334,28,0.0,1162592
K02000001,United Kingdom,overview,2021-07-04,462,24248,28,0.0,1276616
K02000001,United Kingdom,overview,2021-07-03,390,24885,28,0.0,659569
K02000001,United Kingdom,overview,2021-07-02,389,27125,27,0.0,878987
K02000001,United Kingdom,overview,2021-07-01,369,27989,21,0.0,1123140
K02000001,United Kingdom,overview,2021-06-30,413,26068,21,0.0,1254577
K02000001,United Kingdom,overview,2021-06-29,365,20479,23,0.0,884006
K02000001,United Kingdom,overview,2021-06-28,308,22868,12,0.0,1097321
K02000001,United Kingdom,overview,2021-06-27,265,14876,20,0.0,1216722
K02000001,United Kingdom,overview,2021-06-26,266,18270,16,0.0,622568
K02000001,United Kingdom,overview,2021-06-25,250,15810,20,0.0,853652
